code	location	registred	envelopes	valid	Občanská demokratická strana	Řád národa - Vlastenecká unie	CESTA ODPOVĚDNÉ SPOLEČNOSTI	Česká str.sociálně demokrat.	Radostné Česko	STAROSTOVÉ A NEZÁVISLÍ	Komunistická str.Čech a Moravy	Strana zelených	ROZUMNÍ-stop migraci,diktát.EU	Strana svobodných občanů	Blok proti islam.-Obran.domova	Občanská demokratická aliance	Česká pirátská strana	Referendum o Evropské unii	TOP 09	ANO 2011	Dobrá volba 2016	SPR-Republ.str.Čsl. M.Sládka	Křesť.demokr.unie-Čs.str.lid.	Česká strana národně sociální	REALISTÉ	SPORTOVCI	Dělnic.str.sociální spravedl.	Svob.a př.dem.-T.Okamura (SPD)	Strana Práv Občanů	Národ Sobě
592897	Bohaté Málkovice	200	111	111	4	0	0	14	0	2	9	0	1	0	0	0	3	0	1	48	1	0	16	0	0	0	0	10	2	0
592901	Bohdalice-Pavlovice	687	426	422	25	0	0	36	0	19	42	3	0	6	1	1	21	4	6	112	0	1	54	0	3	0	1	87	0	0
592919	Bošovice	942	551	548	41	2	0	34	1	24	46	5	15	12	1	1	42	0	8	166	3	2	73	0	4	0	0	68	0	0
592927	Brankovice	721	440	435	27	1	0	80	1	10	47	3	11	11	0	1	18	0	8	112	0	2	23	0	3	1	2	72	2	0
592943	Bučovice	5235	3035	3018	223	1	1	424	1	55	361	29	26	51	3	1	216	1	86	746	1	23	297	1	21	7	2	429	10	2
592978	Dětkovice	217	130	130	12	0	0	19	0	4	11	0	0	0	0	0	5	0	2	35	0	0	23	0	2	0	3	14	0	0
592986	Dobročkovice	179	106	106	7	0	0	8	1	2	6	0	0	0	0	1	8	0	3	28	0	0	28	0	0	0	0	14	0	0
592994	Dražovice	735	461	459	61	1	1	49	1	8	40	2	4	5	0	0	30	0	8	115	0	0	84	0	1	5	0	42	2	0
593001	Drnovice	1929	1247	1236	164	1	1	131	6	28	136	14	4	25	0	0	68	1	34	363	3	1	74	0	8	4	4	161	5	0
593010	Drysice	451	238	236	16	1	0	15	0	4	40	0	10	4	0	0	15	1	2	85	0	1	11	0	0	0	1	25	5	0
593028	Habrovany	673	428	426	40	2	1	46	0	7	34	8	7	8	1	2	39	2	16	122	1	1	27	0	3	1	2	53	1	2
550213	Heršpice	620	436	436	39	0	0	68	0	21	32	5	4	2	1	0	34	0	16	112	0	0	44	0	1	0	0	56	1	0
593036	Hlubočany	390	245	241	13	4	0	25	1	10	30	1	4	5	0	0	12	0	4	84	0	0	10	0	0	0	3	34	1	0
593044	Hodějice	804	489	485	45	1	0	68	1	11	44	2	1	8	0	1	46	0	16	126	0	1	43	0	2	1	0	68	0	0
550825	Holubice	881	574	568	72	2	0	52	2	25	20	1	8	6	0	1	49	1	21	148	0	0	70	0	7	1	0	81	0	1
593052	Hostěrádky-Rešov	697	490	490	30	0	3	60	0	23	44	2	5	9	0	1	46	2	15	136	1	0	40	0	0	4	0	65	4	0
593061	Hoštice-Heroltice	504	328	327	23	0	1	26	0	9	48	1	0	5	0	1	21	0	4	89	0	2	29	0	1	0	3	62	2	0
593079	Hrušky	624	377	377	22	0	0	28	0	12	38	7	3	4	0	0	36	0	12	100	1	1	55	0	1	3	0	54	0	0
593087	Hvězdlice	475	260	260	14	0	0	46	0	5	46	2	0	1	0	0	16	0	1	69	0	1	15	0	1	0	0	41	2	0
593095	Chvalkovice	216	130	130	13	0	0	25	0	2	30	1	0	2	0	0	4	0	0	22	0	0	19	0	0	1	0	10	1	0
593117	Ivanovice na Hané	2365	1329	1319	104	1	0	170	0	19	144	7	9	8	1	1	99	1	33	402	1	8	115	0	8	4	0	168	16	0
593125	Ježkovice	323	197	197	19	0	0	30	0	10	20	1	1	1	0	1	21	0	2	40	0	2	15	0	0	0	0	33	1	0
593141	Kobeřice u Brna	546	360	355	18	2	0	106	0	6	41	7	2	12	0	0	20	0	9	60	0	0	34	0	2	0	3	31	1	1
593150	Kojátky	297	143	143	13	0	0	11	0	2	8	1	7	0	0	0	14	0	5	44	0	3	11	0	0	0	0	24	0	0
593168	Komořany	584	367	365	24	0	0	43	0	10	26	1	3	4	0	1	38	0	12	99	1	2	41	0	2	2	1	52	3	0
550108	Kozlany	290	157	157	6	0	0	23	0	6	19	1	0	1	0	1	11	1	0	40	0	0	14	0	1	2	0	30	1	0
593184	Kožušice	96	53	52	2	0	0	9	0	0	8	0	0	0	0	0	0	0	1	16	0	0	5	0	1	0	0	10	0	0
593192	Krásensko	344	242	241	15	0	0	34	1	11	22	3	6	4	0	0	15	0	6	41	0	0	61	0	0	1	1	20	0	0
593214	Křenovice	1543	1032	1029	133	3	0	106	0	31	78	16	7	15	2	6	92	1	54	254	0	3	108	0	11	1	1	105	2	0
593222	Křižanovice	647	409	407	37	0	0	35	0	20	55	4	3	7	0	1	29	0	10	114	0	0	39	0	0	1	3	49	0	0
593231	Křižanovice u Vyškova	113	74	74	2	0	0	18	0	4	7	0	1	1	1	0	3	0	0	8	0	1	3	0	0	1	4	20	0	0
593249	Kučerov	415	239	235	21	0	0	40	0	2	27	1	1	10	2	1	29	2	1	52	0	0	8	0	0	0	3	32	3	0
593257	Letonice	1156	702	693	34	1	1	92	0	17	104	9	9	11	0	2	43	2	12	180	1	2	45	0	1	1	1	124	1	0
593265	Lovčičky	529	350	348	25	0	0	37	1	12	43	0	6	3	0	1	23	0	16	69	0	2	58	0	0	1	0	50	1	0
593273	Luleč	738	501	500	45	0	0	60	0	20	29	10	2	3	0	0	45	1	27	169	2	6	24	0	2	1	1	53	0	0
593281	Lysovice	224	143	141	3	1	0	14	0	3	22	2	1	5	0	0	14	0	4	35	0	3	12	0	0	0	0	19	3	0
593290	Malínky	124	87	86	5	0	0	9	0	4	23	0	3	2	1	0	7	0	0	12	0	0	11	0	0	0	1	6	0	2
550141	Medlovice	255	174	172	8	0	0	26	0	5	15	1	3	0	0	0	19	0	2	48	0	2	3	0	0	1	0	36	2	1
593320	Milešovice	535	274	271	21	1	0	43	0	5	21	0	3	1	3	0	23	1	4	67	0	2	24	0	2	1	3	46	0	0
593338	Milonice	285	183	181	10	0	1	13	0	8	29	0	2	1	0	1	9	0	1	55	0	0	25	0	1	0	1	24	0	0
593346	Moravské Málkovice	464	270	269	17	0	0	54	0	7	47	0	3	5	1	1	13	0	6	49	0	4	22	0	1	1	0	34	3	1
557048	Mouřínov	375	216	216	13	0	0	17	0	8	27	1	2	1	0	1	6	0	0	68	0	1	14	0	0	0	1	56	0	0
593371	Němčany	627	425	425	38	0	2	38	0	12	36	3	2	6	0	1	45	0	14	103	0	2	80	0	1	3	1	36	2	0
593389	Nemochovice	228	156	152	10	0	0	28	0	3	52	0	0	1	0	0	2	0	0	37	0	0	3	0	0	0	0	15	1	0
593397	Nemojany	546	339	337	32	0	0	21	0	18	23	3	3	15	1	0	21	0	4	105	0	1	33	0	1	2	0	49	4	1
593401	Nemotice	351	180	180	20	0	0	48	2	3	22	2	0	1	0	0	3	0	4	38	0	0	14	0	0	2	1	20	0	0
593419	Nesovice	903	501	496	48	2	0	47	0	13	85	1	3	5	0	0	26	0	8	119	0	1	61	0	1	0	0	70	6	0
593427	Nevojice	346	214	212	13	0	0	17	0	9	23	3	0	1	0	0	14	0	9	55	0	0	25	0	1	0	0	41	0	1
593435	Nížkovice	560	382	381	55	2	0	45	0	10	50	5	2	8	0	0	41	0	2	79	0	2	20	0	2	0	3	55	0	0
593443	Nové Sady	90	62	62	1	0	0	3	0	4	15	1	0	3	0	0	5	0	0	14	0	0	3	0	1	0	0	10	2	0
550132	Olšany	449	289	287	31	0	0	27	1	10	36	5	4	3	1	0	30	1	6	77	0	0	19	0	0	2	0	31	3	0
593460	Orlovice	254	167	165	7	0	0	16	0	5	19	0	1	1	0	0	9	0	3	42	0	0	45	0	0	0	0	17	0	0
593478	Otnice	1239	760	757	79	0	3	56	0	38	94	13	10	11	2	2	52	1	16	173	0	1	60	1	2	1	1	140	0	1
550795	Podbřežice	194	106	106	6	0	0	8	0	4	14	0	0	0	0	0	7	0	2	23	0	0	13	0	0	0	6	23	0	0
593486	Podivice	152	105	105	4	1	0	18	1	1	15	0	1	0	0	0	11	0	1	31	0	0	6	0	0	0	0	15	0	0
550175	Podomí	337	212	211	24	0	0	15	0	2	27	4	1	5	0	1	17	0	4	58	0	0	29	0	3	0	0	21	0	0
593494	Prusy-Boškůvky	513	313	309	19	0	0	34	0	34	52	5	2	4	0	0	20	0	5	66	0	0	30	0	2	0	0	35	0	1
593508	Pustiměř	1400	902	898	81	1	0	116	2	16	83	14	13	11	1	0	70	1	17	298	0	4	53	0	3	3	1	107	3	0
